state,population
Alabama,4849000
Alaska,737000
Arizona,6731000
Colorado,5356000
Florida,19893000
Georgia,10097000
Indiana,6597000
Kansas,2904000
Maine,1330000
Massachusetts,6745000
Minnesota,5457000
New Jersey,8938000
North Carolina,9944000
North Dakota,739000
Oklahoma,3878000
Pennsylvania,12787000
South Dakota,853000
Texas,26957000
Wyoming,584000
Connecticut,3597000
Missouri,6064000
West Virginia,1850000
Illinois,12881000
New Mexico,2086000
Arkansas,2966000
California,38803000
Delaware,936000
District of Columbia,659000
Hawaii,1420000
Iowa,3107000
Kentucky,4413000
Maryland,5976000
Michigan,9910000
Mississippi,2994000
Montana,1024000
New Hampshire,1327000
New York,19746000
Ohio,11594000
Oregon,3970000
Tennessee,6549000
Utah,2943000
Virginia,8326000
Washington,7062000
Wisconsin,5758000
Nebraska,1882000
South Carolina,4832000
Idaho,1634000
Nevada,2839000
Vermont,627000
Louisiana,4650000
Rhode Island,1055000
